X,Y,objectid,cod_seg_pr,cod_via,cod_pr,distancia,lado,material,fecha_inst,leyen_front,estado,observacion,lat,lon,alt,key,fuente,fecha_fuente,fecha_act
-81.7299671977097,12.5463981660949,1,01017,0101,7,0,1,1,, ,0, ,12.54639817,-81.7299672,1.446,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00
-81.7271160653722,12.5269667003157,2,010110,0101,10,0,2,1,, ,0, ,12.5269667,-81.72711606,28.2699,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00
-81.7285663118551,12.5205640399094,3,010111,0101,11,0,1,1,, ,0, ,12.52056404,-81.72856631,3.5045,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00
-76.6753182607601,7.68786980827233,4,620152,6201,52,1003,2,1,, ,1, ,7.68786981,-76.67531826,29.6,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00
-76.6713428311489,7.70551869403605,5,620150,6201,50,1007,2,1,, ,1, ,7.70551869,-76.67134283,30.6,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00
-76.667341705229,7.72315458311104,6,620148,6201,48,1005,2,1,, ,1,No Cumple Altura,7.72315458,-76.6673417,34.4,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00
-76.6634006586353,7.7408034751816,7,620146,6201,46,1005,2,1,, ,1,No Cumple Altura,7.74080348,-76.66340066,34.3,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00
-76.659483270073,7.75825877200896,8,620144,6201,44,986,2,1,, ,1,Ladea. Zona Urb. Carepa,7.75825877,-76.65948327,32.7,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00
-76.656378350193,7.77621810256058,9,620142,6201,42,999,2,1,, ,1,No Cumple Altura,7.7762181,-76.65637835,32,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00
-76.6527395031491,7.79409039689123,10,620140,6201,40,1024,2,1,, ,1, ,7.7940904,-76.6527395,33.8,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00
-76.6505706727109,7.81186947186029,11,620138,6201,38,1004,2,1,, ,1, ,7.81186947,-76.65057067,26.9,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00
-76.6470599649523,7.82957568608134,12,620136,6201,36,998,2,1,, ,1, ,7.82957569,-76.64705996,31.3,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00
-76.6424136582156,7.84705524241342,13,620134,6201,34,1008,2,1,, ,1, ,7.84705524,-76.64241366,26.8,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00
-76.6376883581244,7.86449408304681,14,620132,6201,32,999,2,1,, ,1, ,7.86449408,-76.63768836,27.5,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00
-76.6328259796124,7.88180790281903,15,620130,6201,30,986,2,1,, ,1,Zona urb. Apar. Dob. Calzada,7.8818079,-76.63282598,28,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00
-76.6279655082238,7.89936248593517,16,620128,6201,28,1003,2,1,, ,1, ,7.89936249,-76.62796551,25.8,,IGAC (Contrato 2932/2008),2008/01/01 00:00:00+00,2011/01/01 00:00:00+00
